period,drawDate,redeemableDate,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,specialNumber
115016213,2026-03-21 21:40,,1,7,11,16,21,22,24,26,27,28,31,38,42,46,55,56,64,77,78,80,46
115016212,2026-03-21 21:35,,7,13,19,20,22,24,28,31,35,36,37,38,40,46,57,62,68,71,73,79,46
115016211,2026-03-21 21:30,,1,7,10,23,32,37,38,42,44,45,48,54,58,61,67,69,74,76,77,80,7
115016210,2026-03-21 21:25,,1,7,8,13,16,19,25,27,29,36,40,46,51,52,59,67,68,70,71,76,68
115016209,2026-03-21 21:20,,1,10,11,13,23,25,29,30,32,39,42,51,52,57,60,64,67,74,75,79,13
115016208,2026-03-21 21:15,,1,3,5,6,17,18,25,26,27,30,34,38,48,53,57,59,62,64,68,76,59
115016207,2026-03-21 21:10,,10,15,16,17,25,30,34,37,38,42,43,44,45,49,61,67,68,69,71,75,61
115016206,2026-03-21 21:05,,5,8,10,13,16,18,21,22,24,25,26,29,50,54,57,59,66,73,76,78,16
115016205,2026-03-21 21:00,,10,23,27,28,31,33,37,40,41,44,52,57,60,61,67,70,72,75,76,79,57
115016204,2026-03-21 20:55,,3,4,12,15,18,21,26,27,28,29,33,37,40,49,50,65,72,74,76,78,4
115016203,2026-03-21 20:50,,2,6,11,12,15,17,19,20,22,23,25,40,41,57,60,65,67,69,70,76,41
115016202,2026-03-21 20:45,,1,11,12,14,17,19,24,25,31,33,35,36,38,39,43,44,46,62,63,64,14
115016201,2026-03-21 20:40,,1,4,5,7,9,12,15,17,30,33,35,40,42,44,58,59,64,65,77,79,40
115016200,2026-03-21 20:35,,1,13,18,21,29,30,31,35,40,49,50,54,55,61,62,65,66,73,75,79,75
115016199,2026-03-21 20:30,,1,2,7,12,13,17,23,25,26,27,31,32,41,43,52,54,59,61,65,76,25
115016198,2026-03-21 20:25,,4,5,9,10,18,20,30,38,41,44,47,57,59,62,67,68,69,70,78,80,62
115016197,2026-03-21 20:20,,2,3,4,6,9,13,14,21,23,24,36,39,46,48,53,56,64,68,71,73,4
115016196,2026-03-21 20:15,,2,3,9,15,18,24,27,28,29,30,33,34,40,44,46,48,51,65,67,77,18
115016195,2026-03-21 20:10,,1,4,6,16,17,22,27,34,39,41,42,51,55,57,61,62,75,77,79,80,80
115016194,2026-03-21 20:05,,4,9,15,20,21,28,35,36,39,40,41,42,50,57,58,65,72,78,79,80,35
115016193,2026-03-21 20:00,,1,4,8,19,21,31,36,37,44,48,49,50,60,65,66,67,68,70,72,79,44
115016192,2026-03-21 19:55,,5,8,22,24,25,28,30,37,38,39,41,45,46,53,65,70,71,76,77,79,70
115016191,2026-03-21 19:50,,3,4,6,8,13,17,20,27,30,36,37,48,49,55,56,66,71,72,77,78,78
115016190,2026-03-21 19:45,,7,10,13,17,24,28,32,39,42,44,48,52,53,63,64,68,73,76,78,79,10
115016189,2026-03-21 19:40,,1,2,4,10,16,21,26,34,37,38,39,49,52,55,62,63,64,73,75,80,64
115016188,2026-03-21 19:35,,5,7,8,16,17,22,23,25,34,36,37,43,48,51,61,63,66,71,74,78,43
115016187,2026-03-21 19:30,,10,15,17,20,21,22,24,27,28,32,38,39,42,45,47,52,58,63,64,68,15
115016186,2026-03-21 19:25,,5,12,15,19,23,43,44,49,50,51,54,60,64,66,72,74,75,77,78,80,5
115016185,2026-03-21 19:20,,17,19,20,24,30,37,46,51,52,53,58,60,61,64,66,68,73,75,76,78,76
115016184,2026-03-21 19:15,,2,3,13,14,16,18,21,24,32,36,37,39,46,55,60,61,64,66,77,79,24
